id,season,team1,team2,result,target,team2_score,balls_30,team2_30_rn,team2_30_wk,team2_30_ach,balls_60,team2_60_rn,team2_60_wk,team2_60_ach,balls_90,team2_90_rn,team2_90_wk,team2_90_ach,dl_applied,winner,win_by_runs,win_by_wickets,team2_win
141,2009,Chennai Super Kings,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,18,0,
142,2009,Kolkata Knight Riders,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,0,6,
143,2009,Mumbai Indians,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,9,
144,2009,Chennai Super Kings,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,78,0,
145,2009,Rajasthan Royals,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,78,0,
146,2009,Kolkata Knight Riders,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,9,
147,2009,Deccan Chargers,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,19,0,
148,2009,Royal Challengers Bangalore,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,0,7,
150,2009,Mumbai Indians,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,7,
151,2009,Deccan Chargers,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,0,3,
152,2009,Rajasthan Royals,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,0,7,
153,2009,Mumbai Indians,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,16,0,
154,2009,Kolkata Knight Riders,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,7,
155,2009,Deccan Chargers,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,53,0,
156,2009,Kolkata Knight Riders,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,6,
157,2009,Kings XI Punjab,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,0,8,
158,2009,Delhi Daredevils,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,12,0,
159,2009,Chennai Super Kings,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,2,
160,2009,Rajasthan Royals,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,2,0,
161,2009,Delhi Daredevils,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,0,6,
162,2009,Mumbai Indians,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,0,7,
163,2009,Kolkata Knight Riders,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,0,6,
164,2009,Kings XI Punjab,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,1,0,
165,2009,Delhi Daredevils,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,14,0,
166,2009,Chennai Super Kings,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,7,
167,2009,Delhi Daredevils,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,7,
168,2009,Rajasthan Royals,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,4,
169,2009,Chennai Super Kings,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,24,0,
170,2009,Mumbai Indians,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,4,
171,2009,Royal Challengers Bangalore,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,12,0,
172,2009,Delhi Daredevils,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,0,6,
173,2009,Chennai Super Kings,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,6,
