id,season,team1,team2,result,target,team2_score,balls_30,team2_30_rn,team2_30_wk,team2_30_ach,balls_60,team2_60_rn,team2_60_wk,team2_60_ach,balls_90,team2_90_rn,team2_90_wk,team2_90_ach,dl_applied,winner,win_by_runs,win_by_wickets,team2_win,dls_5,dls_10,dls_15
135,2009,Kings XI Punjab,Mumbai Indians,normal,120,116,90,13,3,103,60,47,4,69,30,81,4,35,0,Kings XI Punjab,3,0,0,0,0,1
136,2009,Deccan Chargers,Delhi Daredevils,normal,149,150,90,35,2,115,60,70,3,80,30,101,3,49,0,Delhi Daredevils,0,6,1,0,1,1
137,2009,Chennai Super Kings,Rajasthan Royals,normal,165,126,90,28,1,98,60,61,3,65,30,98,5,28,0,Chennai Super Kings,38,0,0,0,0,0
138,2009,Mumbai Indians,Kolkata Knight Riders,normal,149,139,90,21,2,118,60,60,2,79,30,98,3,41,0,Mumbai Indians,9,0,0,0,1,1
139,2009,Royal Challengers Bangalore,Kings XI Punjab,normal,146,137,90,28,0,109,60,70,1,67,30,95,3,42,0,Royal Challengers Bangalore,8,0,0,1,1,1
140,2009,Deccan Chargers,Rajasthan Royals,normal,142,142,90,20,3,122,60,60,5,82,30,98,6,44,0,Rajasthan Royals,0,3,1,0,0,0
141,2009,Chennai Super Kings,Delhi Daredevils,normal,164,145,90,38,2,107,60,72,3,73,30,120,3,25,0,Chennai Super Kings,18,0,0,0,1,1
142,2009,Kolkata Knight Riders,Kings XI Punjab,normal,154,154,90,44,1,110,60,81,3,73,30,116,4,38,0,Kings XI Punjab,0,6,1,1,1,1
143,2009,Mumbai Indians,Royal Challengers Bangalore,normal,150,150,90,51,1,99,60,74,1,76,30,122,1,28,0,Royal Challengers Bangalore,0,9,1,1,1,1
144,2009,Chennai Super Kings,Deccan Chargers,normal,179,100,90,34,3,66,60,79,5,21,30,100,10,0,0,Chennai Super Kings,78,0,0,0,0,0
145,2009,Rajasthan Royals,Kings XI Punjab,normal,212,133,90,25,3,108,60,53,5,80,30,96,6,37,0,Rajasthan Royals,78,0,0,0,0,0
146,2009,Kolkata Knight Riders,Delhi Daredevils,normal,155,157,90,49,0,108,60,76,1,81,30,114,1,43,0,Delhi Daredevils,0,9,1,1,1,1
147,2009,Deccan Chargers,Mumbai Indians,normal,146,126,90,27,2,99,60,71,3,55,30,100,4,26,0,Deccan Chargers,19,0,0,0,1,1
148,2009,Royal Challengers Bangalore,Rajasthan Royals,normal,106,107,90,25,0,82,60,62,2,45,30,107,3,0,0,Rajasthan Royals,0,7,1,1,1,1
150,2009,Mumbai Indians,Delhi Daredevils,normal,117,118,90,33,0,85,60,52,2,66,30,74,2,44,0,Delhi Daredevils,0,7,1,1,1,1
151,2009,Deccan Chargers,Kings XI Punjab,normal,169,169,90,42,2,127,60,86,4,83,30,119,5,50,0,Kings XI Punjab,0,3,1,0,1,1
152,2009,Rajasthan Royals,Chennai Super Kings,normal,141,141,90,25,1,116,60,67,2,74,30,97,2,44,0,Chennai Super Kings,0,7,1,0,1,1
153,2009,Mumbai Indians,Royal Challengers Bangalore,normal,158,141,90,31,2,110,60,58,4,83,30,100,6,41,0,Mumbai Indians,16,0,0,0,0,0
154,2009,Kolkata Knight Riders,Delhi Daredevils,normal,124,125,90,45,0,80,60,72,3,53,30,100,3,25,0,Delhi Daredevils,0,7,1,1,1,1
155,2009,Deccan Chargers,Rajasthan Royals,normal,167,113,90,25,2,88,60,59,3,54,30,95,6,18,0,Deccan Chargers,53,0,0,0,0,0
156,2009,Kolkata Knight Riders,Royal Challengers Bangalore,normal,174,176,90,36,0,140,60,70,2,106,30,119,3,57,0,Royal Challengers Bangalore,0,6,1,1,1,1
157,2009,Kings XI Punjab,Mumbai Indians,normal,120,122,90,35,1,87,60,74,2,48,30,113,2,9,0,Mumbai Indians,0,8,1,1,1,1
158,2009,Delhi Daredevils,Deccan Chargers,normal,174,161,90,40,2,121,60,83,2,78,30,134,3,27,0,Delhi Daredevils,12,0,0,0,1,1
159,2009,Chennai Super Kings,Royal Challengers Bangalore,normal,130,132,90,30,3,102,60,57,3,75,30,91,4,41,0,Royal Challengers Bangalore,0,2,1,0,1,1
160,2009,Rajasthan Royals,Mumbai Indians,normal,146,143,90,23,2,120,60,54,3,89,30,98,5,45,0,Rajasthan Royals,2,0,0,0,0,0
161,2009,Delhi Daredevils,Kings XI Punjab,normal,121,123,90,35,2,88,60,50,3,73,30,86,3,37,0,Kings XI Punjab,0,6,1,1,0,1
